2023-11-11 18:47:20.794 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-11 18:47:20.794 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-11 18:47:22.385 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-11 18:47:22.391 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-11 18:47:22.392 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-11 18:47:22.392 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-11 18:47:22.635 INFO  [restartedMain] [org.apache.jasper.servlet.TldScanner] - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-11-11 18:47:22.639 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-11 18:47:22.640 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1846 ms
2023-11-11 18:47:23.301 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-11 18:47:23.541 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@67f37506, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1bbb1e16, org.springframework.security.web.context.SecurityContextPersistenceFilter@7b7e6de8, org.springframework.security.web.header.HeaderWriterFilter@5cf67018, org.springframework.security.web.authentication.logout.LogoutFilter@559d8991, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2a7126a4, org.springframework.security.web.session.ConcurrentSessionFilter@249bf849, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4d47bf92, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@42af602f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@57cd123f, org.springframework.security.web.session.SessionManagementFilter@29053c2a, org.springframework.security.web.access.ExceptionTranslationFilter@7b0d0952, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@71b0149b]
2023-11-11 18:47:23.745 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-11 18:47:23.783 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-11 18:47:23.813 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-11 18:47:23.828 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - Started Test06Application in 3.481 seconds (JVM running for 4.352)
2023-11-11 18:47:26.786 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-11 18:47:26.788 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-11 18:47:26.797 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 9 ms
2023-11-11 18:47:29.865 INFO  [http-nio-8085-exec-8] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-11 18:47:29.940 INFO  [http-nio-8085-exec-8] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-11 18:49:42.863 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-11 18:49:42.887 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-11 18:49:46.189 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - Starting Test06Application using Java 17.0.8 on 192.168.nate.com with PID 3844 (/Users/otaehun/Desktop/chunjae_pro/5차 개인 프로젝트/LegoNego_Proj05/build/classes/java/main started by otaehun in /Users/otaehun/Desktop/chunjae_pro/5차 개인 프로젝트/LegoNego_Proj05)
2023-11-11 18:49:46.198 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-11 18:49:46.261 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-11 18:49:46.261 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-11 18:49:47.607 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-11 18:49:47.613 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-11 18:49:47.614 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-11 18:49:47.614 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-11 18:49:47.858 INFO  [restartedMain] [org.apache.jasper.servlet.TldScanner] - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-11-11 18:49:47.862 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-11 18:49:47.862 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1600 ms
2023-11-11 18:49:48.541 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-11 18:49:48.764 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@477abaac, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7ed9ca14, org.springframework.security.web.context.SecurityContextPersistenceFilter@353e8d, org.springframework.security.web.header.HeaderWriterFilter@1b154459, org.springframework.security.web.authentication.logout.LogoutFilter@359c95ca, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@43cf4ab5, org.springframework.security.web.session.ConcurrentSessionFilter@771e1ae3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3abbf036, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@291c4998, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2c1e286a, org.springframework.security.web.session.SessionManagementFilter@4b96f1be, org.springframework.security.web.access.ExceptionTranslationFilter@5ff9922e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@39ca837b]
2023-11-11 18:49:48.978 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-11 18:49:49.003 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-11 18:49:49.024 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-11 18:49:49.037 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - Started Test06Application in 3.199 seconds (JVM running for 3.961)
2023-11-11 18:49:51.587 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-11 18:49:51.589 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-11 18:49:51.591 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 2 ms
2023-11-11 18:50:18.900 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - Starting Test06Application using Java 17.0.8 on 192.168.nate.com with PID 3851 (/Users/otaehun/Desktop/chunjae_pro/5차 개인 프로젝트/LegoNego_Proj05/build/classes/java/main started by otaehun in /Users/otaehun/Desktop/chunjae_pro/5차 개인 프로젝트/LegoNego_Proj05)
2023-11-11 18:50:18.908 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-11 18:50:18.966 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-11 18:50:18.966 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-11 18:50:20.287 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-11 18:50:20.292 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-11 18:50:20.293 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-11 18:50:20.293 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-11 18:50:20.523 INFO  [restartedMain] [org.apache.jasper.servlet.TldScanner] - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-11-11 18:50:20.527 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-11 18:50:20.527 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1560 ms
2023-11-11 18:50:21.182 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-11 18:50:21.404 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@560d2e14, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@64a1d1eb, org.springframework.security.web.context.SecurityContextPersistenceFilter@7c573cc4, org.springframework.security.web.header.HeaderWriterFilter@3e2f6fd, org.springframework.security.web.authentication.logout.LogoutFilter@541a803b, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1484c355, org.springframework.security.web.session.ConcurrentSessionFilter@6761d100, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@345c8e8c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5883bd5d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1635ff44, org.springframework.security.web.session.SessionManagementFilter@30c9b2df, org.springframework.security.web.access.ExceptionTranslationFilter@7b638f31, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1fced9e8]
2023-11-11 18:50:21.578 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-11 18:50:21.599 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-11 18:50:21.619 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-11 18:50:21.632 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - Started Test06Application in 3.088 seconds (JVM running for 3.828)
2023-11-11 18:50:24.583 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-11 18:50:24.584 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-11 18:50:24.586 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 2 ms
2023-11-11 18:50:43.348 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - Starting Test06Application using Java 17.0.8 on 192.168.nate.com with PID 3858 (/Users/otaehun/Desktop/chunjae_pro/5차 개인 프로젝트/LegoNego_Proj05/build/classes/java/main started by otaehun in /Users/otaehun/Desktop/chunjae_pro/5차 개인 프로젝트/LegoNego_Proj05)
2023-11-11 18:50:43.350 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-11 18:50:43.395 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-11 18:50:43.395 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-11 18:50:44.692 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
